
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma86.

Number of nonzeros in equality constraint Jacobian...:    41065
Number of nonzeros in inequality constraint Jacobian.:     5776
Number of nonzeros in Lagrangian Hessian.............:    20537

Total number of variables............................:     8982
                     variables with only lower bounds:      998
                variables with lower and upper bounds:     4195
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5878
Total number of inequality constraints...............:     2394
        inequality constraints with only lower bounds:      400
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1994

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 398  2.7368180e+02 1.66e-02 4.06e+01  -3.8 2.23e+01  -4.6 4.29e-01 4.00e-01f  1
 399  2.1796443e+02 1.03e-03 1.73e+01  -3.8 1.70e-01  -2.4 7.70e-01 9.37e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400  2.1475000e+02 2.98e-04 2.75e+01  -3.8 5.00e-01  -2.9 1.00e+00 6.76e-01f  1
 401  2.1142895e+02 5.25e-04 5.83e+00  -3.8 1.18e+00  -3.3 8.96e-01 1.00e+00f  1
 402  2.0819313e+02 2.84e-03 4.55e+01  -3.8 3.04e+00  -3.8 6.89e-01 9.70e-01h  1
 403  2.0412527e+02 4.63e-03 1.92e+01  -3.8 7.79e+00  -4.3 4.85e-01 5.86e-01f  1
 404  2.0047693e+02 9.17e-03 3.26e+01  -3.8 2.05e+01  -4.8 9.93e-02 2.21e-01f  1
 405  1.9942870e+02 1.22e-02 3.57e+01  -3.8 7.76e+02  -5.2 5.53e-03 4.58e-03h  1
 406  1.9853647e+02 1.14e-02 2.86e+02  -3.8 1.90e+01  -4.8 4.96e-01 8.14e-02h  1
 407  1.9874116e+02 2.06e-06 1.35e-01  -3.8 2.32e-02  -1.7 1.00e+00 1.00e+00h  1
 408  1.9866521e+02 7.71e-07 8.01e-02  -3.8 5.19e-02  -2.2 1.00e+00 1.00e+00h  1
 409  1.9855801e+02 6.75e-06 2.12e-03  -3.8 1.52e-01  -2.6 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 410  1.9824903e+02 5.28e-05 9.72e-03  -3.8 4.23e-01  -3.1 1.00e+00 1.00e+00h  1
 411  1.9743350e+02 6.03e-04 7.63e-02  -3.8 1.16e+00  -3.6 1.00e+00 1.00e+00h  1
 412  1.9537687e+02 7.98e-03 2.76e+00  -3.8 3.17e+00  -4.1 9.82e-01 1.00e+00h  1
 413  1.9013951e+02 4.02e-02 3.03e+01  -3.8 9.61e+00  -4.5 5.96e-01 1.00e+00h  1
 414  1.8821665e+02 3.58e-02 3.34e+01  -3.8 4.13e+01  -5.0 2.95e-01 1.16e-01h  1
 415  1.8283898e+02 2.55e-02 4.04e-01  -3.8 1.29e+01  -4.6 1.00e+00 1.00e+00h  1
 416  1.7727057e+02 4.63e-02 1.37e+01  -3.8 3.21e+01  -5.1 2.56e-01 3.92e-01h  1
 417  1.7679385e+02 4.15e-02 1.29e+02  -3.8 2.37e+01  -4.6 6.42e-01 1.00e-01h  1
 418  1.7682362e+02 1.80e-02 4.69e+01  -3.8 1.97e-01  -2.4 6.07e-01 5.66e-01h  1
 419  1.7683863e+02 5.11e-05 7.07e-02  -3.8 2.73e-01  -2.9 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 420  1.7660978e+02 3.50e-05 6.14e-03  -3.8 7.68e-01  -3.4 1.00e+00 1.00e+00h  1
 421  1.7595484e+02 1.46e-04 5.43e-03  -3.8 2.06e+00  -3.8 1.00e+00 1.00e+00h  1
 422  1.7399982e+02 8.76e-04 6.77e-03  -3.8 5.78e+00  -4.3 1.00e+00 1.00e+00h  1
 423  1.6842435e+02 5.90e-03 4.96e-02  -3.8 1.70e+01  -4.8 1.00e+00 1.00e+00h  1
 424  1.6361490e+02 9.98e-03 1.63e+00  -3.8 5.28e+01  -5.3 4.10e-01 2.99e-01h  1
 425  1.5302101e+02 7.19e-02 8.12e+01  -3.8 1.56e+02  -5.8 4.50e-01 2.97e-01h  1
 426  1.5214831e+02 2.60e-02 7.25e+01  -3.8 1.09e+01  -4.4 5.08e-01 6.49e-01h  1
 427  1.5112607e+02 2.23e-02 1.68e+02  -3.8 2.06e+01  -4.9 8.79e-01 1.49e-01h  1
 428  1.4401227e+02 4.15e-02 2.26e+02  -3.8 6.46e+01  -5.4 7.20e-01 4.74e-01h  1
 429  1.4104278e+02 2.72e-02 1.02e+02  -3.8 5.39e+01  -5.0 3.25e-01 4.78e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 430  1.3710424e+02 5.26e-03 2.19e+01  -3.8 1.16e+01  -4.5 6.79e-01 1.00e+00h  1
 431  1.3562105e+02 4.33e-03 1.22e-01  -3.8 5.89e+00  -4.1 1.00e+00 1.00e+00h  1
 432  1.3260281e+02 6.75e-02 2.58e+01  -3.8 3.94e+01  -4.6 1.59e-01 3.81e-01h  1
 433  1.1742065e+02 5.29e-02 6.78e-01  -3.8 5.00e+01  -5.1 1.00e+00 1.00e+00f  1
 434  1.1710331e+02 5.27e-02 3.81e+00  -3.8 2.41e+02  -5.5 2.23e-02 4.09e-03h  1
 435  1.1173369e+02 5.78e-02 4.06e+01  -3.8 3.42e+02  -6.0 5.49e-02 1.04e-01f  1
 436  1.1080711e+02 5.20e-02 1.40e+02  -3.8 4.30e+01  -5.6 6.11e-01 1.00e-01h  1
 437  1.0858875e+02 6.16e-02 1.28e+02  -3.8 1.60e+02  -6.1 1.26e-01 1.09e-01h  1
 438  1.0611122e+02 1.03e-01 8.35e+01  -3.8 4.35e+01  -5.6 5.71e-01 4.60e-01h  1
 439  1.0084251e+02 1.46e-01 5.08e+01  -3.8 1.37e+02  -6.1 4.55e-01 4.21e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 440  9.6144681e+01 4.11e-02 1.44e+00  -3.8 4.97e+01  -5.7 1.00e+00 1.00e+00h  1
 441  9.5363982e+01 3.88e-02 1.27e+01  -3.8 2.10e+02  -6.2 1.81e-01 5.18e-02h  1
 442  9.2868252e+01 5.26e-02 2.01e+01  -3.8 8.10e+01  -5.7 8.78e-01 4.82e-01h  1
 443  9.0188253e+01 1.60e-02 9.95e+00  -3.8 2.65e+01  -5.3 7.34e-01 1.00e+00h  1
 444  8.7881499e+01 5.62e-02 8.30e+00  -3.8 1.43e+02  -5.8 1.74e-01 1.77e-01h  1
 445  8.6145580e+01 2.28e-02 2.05e+01  -3.8 3.18e+01  -5.4 1.00e+00 5.99e-01h  1
 446  8.0834937e+01 6.26e-02 2.18e+01  -3.8 1.01e+02  -5.8 1.69e-01 5.82e-01h  1
 447  8.0928815e+01 5.91e-02 6.71e+01  -3.8 1.05e+02  -6.3 6.89e-01 5.70e-02h  1
 448  7.9937305e+01 7.74e-02 5.52e+01  -3.8 3.66e+02  -6.8 1.13e-01 1.74e-01h  1
 449  7.9771212e+01 7.78e-02 4.61e+01  -3.8 4.72e+02  -7.3 3.34e-02 1.90e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 450  7.9546280e+01 4.25e-02 2.52e+01  -3.8 4.63e+01  -6.8 5.07e-01 4.58e-01h  1
 451  7.9214211e+01 3.80e-02 1.89e+01  -3.8 5.14e+01  -6.4 4.87e-01 3.43e-01h  1
 452  7.9193731e+01 3.51e-02 1.72e+01  -3.8 3.23e+01  -6.0 2.87e-02 7.96e-02h  1
 453  7.9127757e+01 5.30e-03 2.18e+00  -3.8 5.92e-02  -1.1 8.36e-01 8.49e-01h  1
 454  7.9170458e+01 8.39e-07 1.77e+01  -3.8 4.70e-02  -1.5 8.90e-01 1.00e+00h  1
 455  7.9130206e+01 7.18e-07 1.03e-02  -3.8 3.81e-02  -2.0 1.00e+00 1.00e+00h  1
 456  7.9131958e+01 1.09e-06 3.65e-03  -3.8 6.94e-02  -2.5 1.00e+00 1.00e+00h  1
 457  7.9134050e+01 7.86e-06 6.32e-03  -3.8 1.54e-01  -3.0 1.00e+00 1.00e+00h  1
 458  7.9139356e+01 4.92e-05 1.49e-02  -3.8 3.41e-01  -3.4 1.00e+00 1.00e+00h  1
 459  7.9136252e+01 2.49e-04 6.52e-03  -3.8 7.78e-01  -3.9 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 460  7.9115929e+01 1.02e-03 1.60e-02  -3.8 1.70e+00  -4.4 1.00e+00 1.00e+00h  1
 461  7.9061355e+01 4.12e-03 2.58e-02  -3.8 3.71e+00  -4.9 1.00e+00 1.00e+00h  1
 462  7.8940060e+01 1.70e-02 1.20e-01  -3.8 8.08e+00  -5.3 1.00e+00 1.00e+00h  1
 463  7.8746343e+01 3.46e-02 2.84e-01  -3.8 1.48e+01  -5.8 1.00e+00 1.00e+00h  1
 464  7.8390369e+01 3.46e-02 1.65e-01  -3.8 2.28e+01  -6.3 1.00e+00 1.00e+00h  1
 465  7.8224657e+01 3.00e-02 2.57e+01  -3.8 4.08e+01  -6.8 1.00e+00 2.67e-01h  1
 466  7.8055490e+01 2.74e-02 7.15e+00  -3.8 6.95e+01  -7.3 1.00e+00 8.18e-01h  1
 467  7.7822099e+01 1.34e-01 5.22e+00  -3.8 3.65e+02  -7.7 2.73e-01 2.41e-01h  1
 468  7.7504155e+01 1.35e-01 1.51e+00  -3.8 1.10e+02  -7.3 7.07e-01 7.11e-01h  1
 469  7.6978116e+01 4.77e-01 2.60e+00  -3.8 9.74e+02  -7.8 1.23e-01 1.46e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 470  7.6392962e+01 3.38e-01 8.50e+00  -3.8 2.00e+02  -7.4 1.00e+00 5.53e-01h  1
 471  7.5399463e+01 6.78e-01 1.28e+01  -3.8 4.87e+03  -7.8 6.38e-03 3.95e-02h  1
 472  7.5095895e+01 5.77e-01 7.01e+00  -3.8 2.66e+02  -7.4 2.79e-01 1.83e-01h  1
 473  7.5095842e+01 4.90e-01 1.46e+01  -3.8 7.62e+01  -7.9 6.95e-01 1.59e-01h  1
 474  7.5126825e+01 4.71e-01 2.65e+01  -3.8 2.44e+02  -8.4 1.63e-02 3.79e-02h  1
 475  7.5199533e+01 4.09e-01 2.39e+01  -3.8 5.69e-01  -2.5 1.25e-01 1.32e-01h  1
 476  7.5080856e+01 3.94e-01 2.31e+01  -3.8 2.97e-01  -1.2 3.83e-02 3.74e-02h  1
 477  7.5074356e+01 3.92e-01 3.67e+01  -3.8 4.78e-01  -0.8 8.42e-02 3.38e-03h  1
 478  7.4965598e+01 2.95e-01 3.54e+01  -3.8 4.81e-01  -1.2 3.48e-01 2.49e-01h  1
 479  7.4950031e+01 1.86e-01 2.37e+01  -3.8 4.10e-01  -1.7 3.16e-01 3.68e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 480  7.4833075e+01 3.34e-02 1.08e+01  -3.8 2.87e-01  -2.2 1.00e+00 8.21e-01h  1
 481  7.4861102e+01 2.89e-05 9.59e-02  -3.8 1.52e-01  -2.7 1.00e+00 1.00e+00h  1
 482  7.4837414e+01 2.67e-05 4.76e-03  -3.8 2.52e-01  -3.2 1.00e+00 1.00e+00h  1
 483  7.4794428e+01 4.65e-05 1.31e-02  -3.8 4.80e-01  -3.6 1.00e+00 1.00e+00h  1
 484  7.4731097e+01 1.49e-04 4.34e-02  -3.8 1.16e+00  -4.1 1.00e+00 1.00e+00h  1
 485  7.4766683e+01 6.25e-04 7.72e-02  -3.8 1.20e+00  -4.6 1.00e+00 1.00e+00h  1
 486  7.4791647e+01 1.86e-03 7.31e-02  -3.8 2.33e+00  -5.1 1.00e+00 1.00e+00h  1
 487  7.4748843e+01 1.17e-04 1.36e+00  -3.8 6.02e+00  -5.5 1.00e+00 1.00e+00H  1
 488  7.4806300e+01 1.02e-02 2.44e+00  -3.8 1.13e+01  -6.0 1.00e+00 1.00e+00h  1
 489  7.4767545e+01 6.13e-03 6.42e+00  -3.8 2.07e+01  -6.5 1.00e+00 9.13e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 490  7.4807787e+01 1.98e-02 1.55e+00  -3.8 2.07e+01  -7.0 1.00e+00 9.14e-01h  1
 491  7.4826027e+01 1.38e-02 2.78e-01  -3.8 1.92e+01  -7.4 1.00e+00 1.00e+00h  1
 492  7.4818856e+01 8.61e-03 1.70e-02  -3.8 4.59e+01  -7.9 1.00e+00 1.00e+00h  1
 493  7.4796156e+01 4.51e-02 4.00e-02  -3.8 9.42e+01  -8.4 1.00e+00 1.00e+00h  1
 494  7.4771639e+01 8.77e-02 5.67e-02  -3.8 1.76e+02  -8.9 1.00e+00 1.00e+00h  1
 495  7.4762135e+01 3.04e-02 4.90e-02  -3.8 3.17e+02  -9.4 1.00e+00 1.00e+00h  1
 496  7.4758599e+01 1.29e-01 1.06e-01  -3.8 5.58e+02  -9.8 1.00e+00 1.00e+00h  1
 497  7.4756516e+01 6.72e-02 1.06e-01  -3.8 9.69e+02 -10.3 1.00e+00 1.00e+00h  1
 498  7.4756055e+01 2.11e-02 2.78e-02  -3.8 1.67e+03 -10.8 1.00e+00 1.00e+00h  1
 499  7.4755886e+01 1.10e-03 7.09e-03  -3.8 2.83e+03 -11.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 500  7.4755753e+01 2.34e-05 5.25e-02  -3.8 4.74e+03 -11.7 1.00e+00 1.00e+00h  1
 501  7.4755303e+01 9.67e-05 5.64e-01  -3.8 7.72e+03 -12.2 1.00e+00 1.00e+00h  1
 502  7.4753674e+01 1.89e-03 7.76e+00  -3.8 1.20e+04 -12.7 1.00e+00 1.00e+00h  1
 503  7.4749831e+01 1.66e-02 4.82e+01  -3.8 1.71e+04 -13.2 1.00e+00 1.00e+00h  1
 504  7.4711399e+01 5.56e-03 8.54e+02  -3.8 4.72e+04 -13.6 8.40e-01 1.00e+00H  1
 505  7.4720080e+01 8.87e-01 3.95e+03  -3.8 1.62e+05 -14.1 1.00e+00 1.00e+00h  1
 506  7.4713117e+01 7.40e-01 7.85e+03  -3.8 2.81e+05 -14.6 5.95e-01 3.36e-01h  2
 507  7.4686467e+01 6.62e+00 4.14e+04  -3.8 5.47e+05 -15.1 7.34e-01 1.00e+00H  1
 508  7.4700645e+01 3.39e+00 2.01e+04  -3.8 3.97e+05 -15.6 8.94e-01 1.00e+00h  1
 509  7.4694339e+01 7.98e+00 3.69e+04  -3.8 2.72e+06 -16.0 7.16e-01 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 510  7.4698172e+01 5.28e+00 1.00e+04  -3.8 1.13e+06 -16.5 1.00e+00 1.00e+00h  1
 511  7.4695695e+01 6.17e+00 6.42e+04  -3.8 2.95e+06 -17.0 6.86e-01 1.00e+00h  1
 512  7.4696322e+01 8.53e+01 9.89e+04  -3.8 1.03e+07 -17.5 4.22e-01 1.00e+00h  1
 513  7.4695970e+01 2.25e+02 9.45e+03  -3.8 9.32e+06 -17.0 9.81e-01 1.00e+00H  1
 514  7.4696012e+01 1.89e+02 3.12e+04  -3.8 3.76e+06 -17.5 1.00e+00 1.63e-01h  2
 515  7.4695936e+01 1.21e+01 1.63e+04  -3.8 7.75e+06 -18.0 1.00e+00 1.00e+00h  1
 516  7.4695954e+01 4.60e+01 9.41e+03  -3.8 1.03e+07 -18.5 1.00e+00 1.00e+00h  1
 517  7.4696002e+01 4.82e+01 5.67e+03  -3.8 1.47e+07 -18.9 1.00e+00 1.00e+00h  1
 518  7.4696057e+01 6.55e+01 4.56e+03  -3.8 1.82e+07 -19.4 1.00e+00 1.00e+00h  1
 519  7.4696128e+01 5.87e+01 1.43e+03  -3.8 1.68e+07 -19.9 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 520  7.4696161e+01 1.28e+01 2.04e+02  -3.8 8.21e+06 -20.0 1.00e+00 1.00e+00h  1
 521  7.4696172e+01 1.37e+00 2.59e+01  -3.8 2.76e+06 -20.0 1.00e+00 1.00e+00h  1
 522  7.4696175e+01 1.34e-01 2.87e+00  -3.8 8.98e+05 -20.0 1.00e+00 1.00e+00h  1
 523  7.4696176e+01 1.24e-02 2.99e-01  -3.8 2.85e+05 -20.0 1.00e+00 1.00e+00h  1
 524  7.4696177e+01 1.14e-03 2.99e-02  -3.8 9.02e+04 -20.0 1.00e+00 1.00e+00h  1
 525  7.4696177e+01 1.05e-04 2.98e-03  -3.8 2.85e+04 -20.0 1.00e+00 1.00e+00h  1
 526  7.4696177e+01 9.61e-06 2.97e-04  -3.8 9.04e+03 -20.0 1.00e+00 1.00e+00h  1
 527  3.7881343e+01 6.06e+03 5.73e+03  -5.7 5.10e+05 -20.0 3.82e-01 5.74e-01f  1
 528  2.8200431e+01 7.49e+03 2.43e+03  -5.7 7.11e+05 -20.0 4.20e-01 3.49e-01h  1
 529  2.4869180e+01 6.38e+03 2.73e+03  -5.7 3.85e+05 -20.0 1.12e-01 1.82e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 530  2.4236366e+01 6.13e+03 2.66e+03  -5.7 4.44e+05 -20.0 3.72e-02 4.13e-02h  1
 531  2.2675855e+01 5.61e+03 2.47e+03  -5.7 4.78e+05 -20.0 9.63e-02 1.06e-01h  1
 532  2.2167274e+01 5.38e+03 2.21e+03  -5.7 2.15e+02  -6.6 6.09e-02 4.14e-02h  1
 533  2.2077390e+01 5.34e+03 2.21e+03  -5.7 6.00e+02  -7.1 6.18e-03 7.20e-03h  1
 534  2.1315608e+01 5.00e+03 1.80e+03  -5.7 7.86e+02  -7.5 9.80e-02 6.41e-02h  1
 535  2.0794007e+01 4.78e+03 1.76e+03  -5.7 1.71e+03  -8.0 3.81e-02 4.32e-02h  1
 536  2.0080965e+01 4.43e+03 6.71e+02  -5.7 2.87e+02  -6.7 2.16e-01 7.35e-02h  1
 537  1.9604226e+01 4.20e+03 7.24e+02  -5.7 7.91e+02  -7.2 3.48e-02 5.15e-02h  1
 538  1.9324081e+01 4.10e+03 5.98e+02  -5.7 1.49e+03  -7.6 4.52e-02 2.36e-02h  1
 539  1.9139798e+01 4.02e+03 6.39e+02  -5.7 1.30e+03  -7.2 9.65e-03 2.07e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 540  1.8952723e+01 3.93e+03 1.48e+03  -5.7 1.77e+03  -6.8 4.54e-01 2.06e-02h  1
 541  1.7490563e+01 3.28e+03 8.43e+02  -5.7 1.89e+03  -6.4 1.47e-02 1.65e-01h  1
 542  1.6522345e+01 2.85e+03 4.30e+02  -5.7 1.54e+03  -5.9 2.05e-02 1.33e-01h  1
 543  1.1817669e+01 7.42e+02 6.60e+01  -5.7 1.33e+03  -6.4 7.22e-01 7.40e-01h  1
 544  1.1487272e+01 6.11e+02 8.03e+01  -5.7 3.82e+02  -6.9 6.31e-03 1.76e-01h  1
 545  1.1076465e+01 4.87e+02 1.41e+02  -5.7 3.00e+02  -7.4 9.41e-02 2.03e-01h  1
 546  1.0952995e+01 4.42e+02 1.27e+01  -5.7 2.36e+02  -6.9 2.81e-01 9.16e-02h  1
 547  1.0738539e+01 3.79e+02 2.05e+01  -5.7 2.21e+02  -7.4 1.16e-01 1.43e-01h  1
 548  1.0705096e+01 3.74e+02 1.83e+01  -5.7 5.37e+02  -7.9 1.65e-02 1.22e-02h  1
 549  1.0332811e+01 2.57e+02 7.46e+01  -5.7 1.88e+02  -7.5 5.21e-01 3.13e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 550  1.0211994e+01 2.03e+02 2.05e+02  -5.7 1.20e+02  -5.2 1.00e+00 2.10e-01h  1
 551  9.7723894e+00 1.03e+01 9.99e+00  -5.7 9.54e+01  -5.7 1.00e+00 9.49e-01h  1
 552  9.7131099e+00 2.44e-03 3.36e+01  -5.7 6.23e+00  -6.2 4.03e-01 1.00e+00h  1
 553  9.7056060e+00 6.66e-05 1.36e+01  -5.7 1.90e+00  -5.8 7.14e-01 1.00e+00h  1
 554  9.6885099e+00 1.55e-04 1.15e+01  -5.7 5.72e+00  -6.2 3.84e-01 4.46e-01h  1
 555  9.6792457e+00 8.33e-05 2.35e+01  -5.7 2.14e+00  -5.8 6.69e-01 1.00e+00f  1
 556  9.6684542e+00 9.28e-05 1.71e+01  -5.7 2.75e+01  -6.3 1.72e-01 1.84e-01h  1
 557  9.6535055e+00 1.04e-04 2.33e+01  -5.7 4.90e+00  -5.9 6.49e-01 1.00e+00f  1
 558  9.6480418e+00 1.46e-05 9.35e-01  -5.7 2.05e+00  -5.4 1.00e+00 1.00e+00h  1
 559  9.6313753e+00 1.31e-04 2.67e+00  -5.7 5.86e+00  -5.9 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 560  9.6254860e+00 1.84e-05 3.42e-01  -5.7 2.18e+00  -5.5 1.00e+00 1.00e+00h  1
 561  9.6077097e+00 1.64e-04 3.22e+00  -5.7 6.30e+00  -6.0 1.00e+00 1.00e+00h  1
 562  9.6014381e+00 2.30e-05 4.23e-01  -5.7 2.34e+00  -5.5 1.00e+00 1.00e+00h  1
 563  9.5825308e+00 2.06e-04 4.49e+00  -5.7 6.74e+00  -6.0 1.00e+00 1.00e+00h  1
 564  9.5758146e+00 2.89e-05 5.94e-01  -5.7 2.49e+00  -5.6 1.00e+00 1.00e+00h  1
 565  9.5555417e+00 2.58e-04 5.44e+00  -5.7 7.18e+00  -6.1 1.00e+00 1.00e+00h  1
 566  9.5482960e+00 3.61e-05 8.05e-01  -5.7 2.65e+00  -5.6 1.00e+00 1.00e+00h  1
 567  9.5265105e+00 3.22e-04 8.14e+00  -5.7 7.61e+00  -6.1 1.00e+00 1.00e+00h  1
 568  9.4966839e+00 8.26e-04 2.15e+01  -5.7 2.03e+01  -6.6 4.21e-01 4.89e-01h  1
 569  9.4830117e+00 1.36e-04 1.36e+01  -5.7 7.74e+00  -6.2 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 570  9.4757280e+00 4.57e-05 7.07e-01  -5.7 2.86e+00  -5.7 1.00e+00 1.00e+00h  1
 571  9.4540050e+00 3.90e-04 1.56e+01  -5.7 8.18e+00  -6.2 7.41e-01 9.95e-01h  1
 572  9.4472933e+00 4.09e-05 1.03e+00  -5.7 3.02e+00  -5.8 1.00e+00 1.00e+00f  1
 573  9.4306185e+00 2.47e-04 3.22e+01  -5.7 8.62e+00  -6.3 7.72e-01 8.01e-01h  1
 574  9.4230177e+00 5.20e-05 8.05e+00  -5.7 3.21e+00  -5.8 1.00e+00 1.00e+00f  1
 575  9.4202864e+00 7.29e-06 1.58e+00  -5.7 1.20e+00  -5.4 1.00e+00 1.00e+00h  1
 576  9.4118538e+00 6.53e-05 2.03e+00  -5.7 3.52e+00  -5.9 1.00e+00 1.00e+00h  1
 577  9.4087125e+00 9.16e-06 1.91e-01  -5.7 1.31e+00  -5.5 1.00e+00 1.00e+00h  1
 578  9.3992924e+00 8.19e-05 1.73e+00  -5.7 3.84e+00  -6.0 1.00e+00 1.00e+00h  1
 579  9.3957889e+00 1.15e-05 2.88e-01  -5.7 1.43e+00  -5.5 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 580  9.3852728e+00 1.03e-04 3.95e+00  -5.7 4.19e+00  -6.0 1.00e+00 1.00e+00h  1
 581  9.3809056e+00 1.05e-04 2.25e+01  -5.7 1.18e+01  -6.5 1.20e-01 1.33e-01h  1
 582  9.3694108e+00 1.28e-04 5.08e+00  -5.7 4.56e+00  -6.1 1.00e+00 1.00e+00f  1
 583  9.3650993e+00 1.80e-05 5.29e-01  -5.7 1.70e+00  -5.6 1.00e+00 1.00e+00h  1
 584  9.3522488e+00 1.60e-04 5.23e+00  -5.7 4.95e+00  -6.1 1.00e+00 1.00e+00h  1
 585  9.3474559e+00 2.24e-05 5.66e-01  -5.7 1.84e+00  -5.7 1.00e+00 1.00e+00h  1
 586  9.3330358e+00 1.99e-04 4.10e+00  -5.7 5.37e+00  -6.2 9.21e-01 1.00e+00h  1
 587  9.3276997e+00 2.80e-05 8.76e-01  -5.7 1.99e+00  -5.7 1.00e+00 1.00e+00h  1
 588  9.3115829e+00 2.47e-04 1.39e+01  -5.7 5.80e+00  -6.2 1.00e+00 1.00e+00h  1
 589  9.3055661e+00 3.50e-05 2.03e+00  -5.7 2.15e+00  -5.8 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 590  9.3004255e+00 4.85e-05 1.45e+01  -5.7 6.42e+00  -6.3 2.11e-01 2.73e-01h  1
 591  9.2860240e+00 2.26e-04 3.54e+01  -5.7 1.94e+01  -6.7 2.40e-01 2.66e-01f  1
 592  9.2659991e+00 3.88e-04 1.59e+01  -5.7 7.25e+00  -6.3 1.00e+00 1.00e+00f  1
 593  9.2584456e+00 5.55e-05 1.26e+00  -5.7 2.73e+00  -5.9 1.00e+00 1.00e+00h  1
 594  9.2463301e+00 1.63e-04 1.30e+01  -5.7 8.22e+00  -6.4 4.48e-01 5.27e-01h  1
 595  9.1922588e+00 2.87e-03 2.38e+01  -5.7 2.50e+01  -6.8 5.43e-01 8.00e-01f  1
 596  9.1036033e+00 1.62e-02 1.44e+02  -5.7 7.97e+01  -7.3 1.98e-01 4.54e-01f  1
 597  9.0916143e+00 9.62e-05 6.11e+00  -5.7 3.72e+00  -6.0 1.00e+00 1.00e+00f  1
 598  9.0877990e+00 1.28e-05 4.43e-01  -5.7 1.40e+00  -5.6 1.00e+00 1.00e+00h  1
 599  9.0763420e+00 1.37e-04 4.53e+00  -5.7 4.24e+00  -6.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 600  9.0719930e+00 1.96e-05 5.12e-01  -5.7 1.60e+00  -5.6 1.00e+00 1.00e+00h  1
 601  9.0589074e+00 1.86e-04 5.93e+00  -5.7 4.84e+00  -6.1 1.00e+00 1.00e+00h  1
 602  9.0218053e+00 1.55e-03 1.04e+02  -5.7 1.49e+01  -6.6 1.00e+00 9.22e-01h  1
 603  8.8903149e+00 1.82e-02 1.37e+02  -5.7 4.83e+01  -7.0 1.00e+00 1.00e+00f  1
 604  8.8556198e+00 1.80e-02 1.56e+02  -5.7 2.01e+02  -7.5 3.43e-01 5.46e-02h  1
 605  8.7518749e+00 2.48e-02 1.42e+02  -5.7 6.23e+02  -8.0 2.48e-02 6.32e-02h  1
 606  8.7192321e+00 2.39e-02 1.41e+02  -5.7 1.53e+02  -7.6 2.09e-01 7.91e-02h  1
