
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma86.

Number of nonzeros in equality constraint Jacobian...:    41065
Number of nonzeros in inequality constraint Jacobian.:     5776
Number of nonzeros in Lagrangian Hessian.............:    20537

Total number of variables............................:     8982
                     variables with only lower bounds:      998
                variables with lower and upper bounds:     4195
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5878
Total number of inequality constraints...............:     2394
        inequality constraints with only lower bounds:      400
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1994

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  71r 4.7930717e+06 5.61e-01 1.90e+02   0.2 4.48e-01   2.9 1.42e-01 2.69e-01f  1
  72r 4.7980817e+06 5.60e-01 2.51e+02   0.2 7.90e-02   3.3 9.96e-01 4.93e-01f  1
  73r 4.8057128e+06 5.58e-01 1.61e+02   0.2 5.10e-01   2.8 1.31e-01 2.58e-01f  1
  74r 4.8110964e+06 5.56e-01 1.21e+02   0.2 9.42e-02   3.2 6.93e-01 4.76e-01f  1
  75r 4.8155367e+06 5.55e-01 1.28e+02   0.2 5.44e-01   2.7 1.37e-01 1.35e-01f  1
  76r 4.8225233e+06 5.54e-01 2.28e+02   0.2 1.22e-01   3.2 9.82e-01 5.54e-01f  1
  77r 4.8272741e+06 5.52e-01 1.48e+02   0.2 3.72e-02   3.6 1.00e+00 1.00e+00f  1
  78r 4.8339496e+06 5.51e-01 1.91e+02   0.2 9.62e-02   3.1 1.00e+00 4.76e-01f  1
  79r 4.8392328e+06 5.49e-01 1.23e+02   0.2 3.47e-02   3.5 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r 4.8487328e+06 5.47e-01 1.29e+02   0.2 1.13e-01   3.1 7.10e-01 6.08e-01f  1
  81r 4.8546129e+06 5.46e-01 1.35e+02   0.2 4.28e-02   3.5 1.00e+00 1.00e+00f  1
  82r 4.8599148e+06 5.44e-01 1.99e+02   0.2 1.49e-01   3.0 6.42e-01 3.06e-01f  1
  83r 4.8664590e+06 5.43e-01 1.54e+02   0.2 5.49e-02   3.4 1.00e+00 1.00e+00f  1
  84r 4.8757292e+06 5.41e-01 1.97e+02   0.2 2.58e-01   3.0 3.00e-01 4.85e-01f  1
  85r 4.8815473e+06 5.40e-01 2.20e+02   0.2 9.17e-02   3.4 8.00e-01 8.02e-01f  1
  86r 4.8840832e+06 5.39e-01 4.46e+02   0.2 2.80e-02   3.8 7.17e-01 9.28e-01f  1
  87r 4.8865918e+06 5.38e-01 4.09e+02   0.2 1.52e-01   3.3 4.83e-01 3.10e-01f  1
  88r 4.8896646e+06 5.38e-01 2.61e+02   0.2 4.57e-02   3.8 9.82e-01 1.00e+00f  1
  89r 4.8927902e+06 5.37e-01 3.13e+02   0.2 2.01e-01   3.3 5.51e-01 3.41e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 4.8949460e+06 5.37e-01 3.09e+02   0.2 1.01e+00   2.8 4.69e-02 8.03e-02f  1
  91r 4.8980828e+06 5.36e-01 7.97e+02   0.2 2.07e-01   3.2 6.91e-01 3.05e-01f  1
  92r 4.8991089e+06 5.36e-01 9.20e+02   0.2 6.86e-02   3.7 1.00e+00 2.63e-01f  1
