time,qm_f,wm_f,tm_f,qm_b,wm_b,tm_b,ue_f,ur_f,xp_f,vp_f,ue_b,ur_b,xp_b,vp_b,x,y,r,dx,dy,dr,ddx,ddy
1.042,-3.00380743595831,0.00029554767571711725,-0.007576074748509804,-0.13778058503374327,0.0002981971241401598,0.01126438383402486,0.99999987192111,1.2807620193651457e-07,-2.3036604716217166e-06,4.5052707226163214e-07,0.999999871928384,1.2806936166566278e-07,-2.303674933007864e-06,4.6442657008304166e-07,-4.4230505166924686e-07,0.17146789025229076,2.6374847012622207e-07,-5.668149666303986e-05,-4.0160442931730756e-07,3.364625457979523e-05,-0.00394743902901857,8.537539205477146e-05
1.0425,-3.003803971230825,0.00030287310108262285,-0.007576074748509804,-0.1377837832799768,0.00030689758952444883,0.01126438383402486,0.99999987192111,1.2807620193651457e-07,-1.4827311716785745e-06,5.643464270698302e-07,0.999999871928384,1.2806936166566278e-07,-1.4827404796249021e-06,5.740318422740194e-07,-4.677440062886345e-07,0.17146886004283152,2.7853369556313466e-07,-5.820906324705746e-05,-6.100320784743062e-07,3.446737924605346e-05,-0.00394743902901857,8.537539205477146e-05
1.043,-3.0038015067278527,0.0003101985264481284,-0.007576074748509804,-0.137785978547105,0.00031559805490873787,0.01126438383402486,0.99999987192111,1.2807620193651457e-07,-4.4690702952234986e-08,6.781657818780282e-07,0.999999871928384,1.2806936166566278e-07,-4.469098350117942e-08,6.83637114464997e-07,-4.934432975226315e-07,0.1714695382571255,2.934660564353467e-07,-5.973662983107505e-05,-8.184597276313049e-07,3.528850391231169e-05,-0.00394743902901857,8.537539205477146e-05
1.0435,-3.0038014568678966,0.0003175239518136372,-0.007576074748509804,-0.1377857519279927,0.0003242985202930308,0.01126438383402486,0.9999998719175595,1.2807694514779754e-07,2.0104609345583506e-06,0.0006845308144024955,0.9999998719284823,1.2806896082827656e-07,2.010473555364353e-06,0.0006845371536599682,-5.198295355814776e-07,0.17146951249657083,3.088552487982207e-07,-6.126419641509332e-05,-1.026887376788396e-06,3.610962857857029e-05,-0.00394743902901857,8.537539205477146e-05
1.044,-3.0038038216509704,0.00032484937717914273,-0.007576074748509804,-0.13778310342262573,0.00033299898567731986,0.01126438383402486,0.9999998719175595,1.2807694514779754e-07,4.682723740851358e-06,0.0013862553736703632,0.9999998719284823,1.2806896082827656e-07,4.68275313696987e-06,0.0013862627136887991,-5.469027204694158e-07,0.1714687827611635,3.247012726548401e-07,-6.279176299911092e-05,-1.2353150259453947e-06,3.693075324482852e-05,-0.00394743902901857,8.537539205477146e-05
1.0445,-3.003808601077075,0.0003321748025446483,-0.007576074748509804,-0.1377780330310041,0.00034169945106160885,0.01126438383402486,0.9999998719175595,1.2807694514779754e-07,7.972097715927561e-06,0.002087979932938231,0.9999998719284823,1.2806896082827656e-07,7.972147761316147e-06,0.0020879882737176295,-5.746628521864576e-07,0.1714673490509035,3.410041280052116e-07,-6.431932958312851e-05,-1.4437426751023933e-06,3.775187791108675e-05,-0.00394743902901857,8.537539205477146e-05
1.045,-3.0038157951462097,0.00033950022791015387,-0.007576074748509804,-0.13777054075312778,0.00035039991644589795,0.01126438383402486,0.9999998719175595,1.2807694514779754e-07,1.187858285978696e-05,0.0027897044922060984,0.9999998719284823,1.2806896082827656e-07,1.1878657428403182e-05,0.0027897138337464604,-6.031099307326028e-07,0.17146521136579074,3.5776381484933525e-07,-6.58468961671461e-05,-1.6521703242593917e-06,3.857300257734498e-05,-0.00394743902901857,8.537539205477146e-05
1.0455,-3.0038254038583747,0.0003416060158483075,-0.02939333676550307,-0.13776062658899682,0.000346784299288313,0.03293918371172304,0.9999998719175595,1.2807694514779754e-07,1.6209984500396e-05,0.003491429051474278,0.9999998719284823,1.2806896082827656e-07,1.6210084127969665e-05,0.0034914393937756027,-6.322439561078648e-07,0.17146236970582535,3.749803331872189e-07,-6.570464897107028e-05,-8.032262709233821e-07,3.855224035896407e-05,-0.0038068664010670575,-0.0005194249618516349
1.046,-3.00383742721357,0.0003437111817272946,-0.02939333676550307,-0.13774829053861118,0.00034316721434065077,0.03293918371172304,0.9999998719175595,1.2807694514779754e-07,2.074305282884025e-05,0.004193153610742146,0.9999998719284823,1.2806896082827656e-07,2.0743174173476993e-05,0.004193164953804434,-6.620649283122176e-07,0.17145882407100724,3.92653683018847e-07,-6.556220277209795e-05,4.584379648282138e-08,3.853137780728216e-05,-0.0038068664010670575,-0.0005194249618516349
1.0465,-3.003851865211796,0.0003458163476062816,-0.02939333676550307,-0.13773353260197085,0.0003395501293929886,0.03293918371172304,0.9999998719175595,1.2807694514779754e-07,2.5477480402703827e-05,0.004894878170010014,0.9999998719284823,1.2806896082827656e-07,2.5477620117169284e-05,0.004894890513833265,-6.925728473456742e-07,0.17145457446133644,4.1078386434422727e-07,-6.541975657312563e-05,8.949138638890249e-07,3.851051525560025e-05,-0.0038068664010670575,-0.0005194249618516349
1.047,-3.003868717853052,0.0003479215134852686,-0.02939333676550307,-0.13771635277907585,0.0003359330444453264,0.03293918371172304,0.9999998719175595,1.2807694514779754e-07,3.0413267221986714e-05,0.005596602729277881,0.9999998719284823,1.2806896082827656e-07,3.0413421959046556e-05,0.005596616073862095,-7.237677132082341e-07,0.17144962087681292,4.293708771633596e-07,-6.527731037415332e-05,1.7439839312952285e-06,3.848965270391835e-05,-0.0038068664010670575,-0.0005194249618516349
1.0475,-3.0038791109992227,0.0003500266793642565,-0.02939333676550307,-0.13770562131514472,0.0003323159594976626,0.03293918371172304,0.9999998719209372,1.2807617288333742e-07,3.5550413286691244e-05,0.006280300739843239,0.9999998719367595,1.2806524610936836e-07,3.555057969911113e-05,0.006280312747856431,-7.56041669972949e-07,0.17144654610993842,4.4860077941042156e-07,-6.513486417518094e-05,2.593053998701809e-06,3.846879015223643e-05,-0.0038068664010670575,-0.0005194249618516349
1.048,-3.003873708922671,0.00035213184524324355,-0.02939333676550307,-0.13771066984242886,0.0003286988745500004,0.03293918371172304,0.9999998719209372,1.2807617288333742e-07,4.088891859681287e-05,0.0069630211366777835,0.9999998719367595,1.2806524610936836e-07,4.088909333735845e-05,0.006963031681362034,-7.898072591410686e-07,0.17144806729752413,4.686693068487657e-07,-6.499241797620862e-05,3.4421240661080123e-06,3.844792760055453e-05,-0.0038068664010670575,-0.0005194249618516349
1.0485,-3.003852510132471,0.00035423701112223055,-0.02939333676550307,-0.1377314998511987,0.0003250817896023382,0.03293918371172304,0.9999998719209372,1.2807617288333742e-07,4.642878315235381e-05,0.007645741533512329,0.9999998719367595,1.2806524610936836e-07,4.642896287379074e-05,0.007645750614867637,-8.250645465958738e-07,0.17145418487349925,4.895764907375864e-07,-6.48499717772363e-05,4.291194133514216e-06,3.842706504887262e-05,-0.0038068664010670575,-0.0005194249618516349
1.049,-3.0038155146286236,0.00035634217700121755,-0.02939333676550307,-0.13776811134145434,0.000321464704654676,0.03293918371172304,0.9999998719209372,1.2807617288333742e-07,5.217000695331406e-05,0.008328461930346875,0.9999998719367595,1.2806524610936836e-07,5.217018830840801e-05,0.008328469548373239,-8.618135323373644e-07,0.17146489883786398,5.113223310768837e-07,-6.470752557826399e-05,5.140264200920419e-06,3.840620249719072e-05,-0.0038068664010670575,-0.0005194249618516349
1.0495,-3.0037627224111287,0.017837919109115283,-1.8260806766754185,-0.1378205043131957,-0.017166715965094084,1.8257731964109514,0.9999998719209372,1.2807617288333742e-07,5.811258999969632e-05,0.009011182327181722,0.9999998719367595,1.2806524610936836e-07,5.811276964121294e-05,0.009011188481879146,-9.00054216365558e-07,0.17148020919061818,5.339068278666678e-07,-6.41217802054909e-05,0.005096753692712442,3.8019237891747117e-05,0.0002848705367039077,0.001698009827894635
1.05,-3.0036941334799865,0.035776383297292796,-1.8260806766754185,-0.1378886787664228,-0.03511191698343014,1.8257731964109514,0.9999998719209372,1.2807617288333742e-07,6.428450556478037e-05,0.009693902724016268,0.9999998719367595,1.2806524610936836e-07,6.428468049790067e-05,0.009693907415384749,-9.397865986804205e-07,0.17150011593176184,5.573299811069185e-07,-6.352444765515087e-05,0.010321432089668148,3.762270392602655e-05,0.0002848705367039077,0.001698009827894635
1.0505,-3.0036097478351964,0.053714847485470306,-1.8260806766754185,-0.13797263470113563,-0.0530571180017662,1.8257731964109514,0.9999998719209372,1.2807617288333742e-07,7.085183386158544e-05,0.010376623120850813,0.9999998719367595,1.2806524610936836e-07,7.085200318381682e-05,0.01037662634889035,-9.810106792819687e-07,0.17152461906129507,5.815917907976458e-07,-6.292711510481083e-05,0.015546110486623854,3.722616996030599e-05,0.0002848705367039077,0.001698009827894635
1.051,-3.0035095654767585,0.0716533116736478,-1.8260806766754185,-0.13807237211733425,-0.07100231902010225,1.8257731964109514,0.9999998719209372,1.2807617288333742e-07,7.784196374432313e-05,0.011059343517685359,0.9999998719367595,1.2806524610936836e-07,7.784212689822562e-05,0.011059345282395954,-1.023726458170202e-06,0.17155371857921775,6.066922569388497e-07,-6.23297825544708e-05,0.020770788883579562,3.682963599458542e-05,0.0002848705367039077,0.001698009827894635
1.0515,-3.003398542147108,0.08959177586183328,-1.8260806766754185,-0.13818294906912082,-0.08894752003844628,1.8257731964109514,0.9999998719209372,1.2807617288333742e-07,8.525489521299685e-05,0.011742063914520207,0.9999998719367595,1.2806524610936836e-07,8.525505164113048e-05,0.01174206421590186,-1.0666123916866248e-06,0.1715859778457406,6.318702239928429e-07,-6.17324500041305e-05,0.025995467280537587,3.643310202886468e-05,0.0002848705367039077,0.001698009827894635
1.052,-3.0032824343458375,0.10753024005001079,-1.8260806766754185,-0.13829862508270574,-0.10689272105678234,1.8257731964109514,0.9999998719209372,1.2807617288333742e-07,9.309062826759994e-05,0.012424784311354752,0.9999998719367595,1.2806524610936836e-07,9.309077741252481e-05,0.012424783149407464,-1.1081333989358476e-06,0.17161972808641188,6.562415476358172e-07,-6.113511745379047e-05,0.031220145677493295,3.603656806314411e-05,0.0002848705367039077,0.001698009827894635
1.0525,-3.003161250000355,0.12546870423818832,-1.8260806766754185,-0.13841939225275132,-0.12483792207511839,1.8257731964109514,0.99999987192173,1.2807561311272943e-07,0.00010134916290813567,0.01311415860134086,0.9999998719363216,1.2806549701856302e-07,0.00010134930421241181,0.013114155977985776,-1.1482873659228804e-06,0.17165496700312416,6.798050102924147e-07,-6.053778490345043e-05,0.036444824074449,3.5640034097423545e-05,0.0002848705367039077,0.001698009827894635
1.053,-3.0030349891106605,0.1434071684263658,-1.8260806766754185,-0.13854525057925746,-0.14278312309345442,1.8257731964109514,0.99999987192173,1.2807561311272943e-07,0.00011003049913460401,0.013914189445091176,0.9999998719363216,1.2806549701856302e-07,0.00011003063204079146,0.013914185392277671,-1.1870742926477227e-06,0.1716916945958774,7.025606119626352e-07,-5.994045235311039e-05,0.04166950247140471,3.524350013170298e-05,0.0002848705367039077,0.001698009827894635
1.0535,-3.0029036516767533,0.16076121579908392,0.012440103775767465,-0.13867620006222436,-0.16012862769764952,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.00011913463694700911,0.014714220288841846,0.9999998719363216,1.2806549701856302e-07,0.00011913476089766794,0.01471421480656992,-1.2244941791103917e-06,0.1717299108646717,7.245083526464886e-07,-6.082971347293651e-05,0.04673830830017994,3.574738501133118e-05,0.0008803239588867119,7.6999145077556665
1.054,-3.0027672376986345,0.1780835691458019,0.012440103775767465,-0.13881224070165177,-0.17744160963439376,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.0001286615763453429,0.015514251132592163,0.9999998719363216,1.2806549701856302e-07,0.00012866169078303312,0.015514244220861815,-1.2605470253108533e-06,0.17176961580950695,7.456482323439549e-07,-6.179959537090455e-05,0.051798660865636836,3.630010130294675e-05,0.0008803239588867119,7.6999145077556665
1.0545,-3.002625747176303,0.19540592249251987,0.012440103775767465,-0.13895337249753983,-0.19475459157113803,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.00013861131732960925,0.01631428197634248,0.9999998719363216,1.2806549701856302e-07,0.00013861142169689097,0.016314273635153708,-1.2952328312491248e-06,0.17181080943038318,7.659802510550446e-07,-6.276947726887258e-05,0.05685901343109373,3.685281759456232e-05,0.0008803239588867119,7.6999145077556665
1.055,-3.0024791801097597,0.21272827583923784,0.012440103775767465,-0.1390995954498885,-0.2120675735078823,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.00014898385989980825,0.017114312820092795,0.9999998719363216,1.2806549701856302e-07,0.00014898395363924151,0.017114303049445605,-1.328551596925206e-06,0.17185349172730038,7.855044087797574e-07,-6.373935916684063e-05,0.061919365996550624,3.740553388617789e-05,0.0008803239588867119,7.6999145077556665
1.0555,-3.0023275364990036,0.2300506291859635,0.012440103775767465,-0.1392509095586979,-0.22938055544463426,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.00015978286335089292,0.01791434366384347,0.9999998719363216,1.2806549701856302e-07,0.0001597829462916185,0.017914332463737852,-1.3605033223391112e-06,0.1718976627002586,8.042207055181014e-07,-6.47092410648091e-05,0.06697971856200977,3.79582501777937e-05,0.0008803239588867119,7.6999145077556665
1.056,-3.002170119160555,0.24737298253268147,0.012440103775767465,-0.13940800801893394,-0.2466935373813785,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.00017101947700379802,0.018714374507593785,0.9999998719363216,1.2806549701856302e-07,0.0001710195501528101,0.018714361878029745,-1.3914745340446256e-06,0.17194352713103447,8.223544768441552e-07,-6.567912296277713e-05,0.07204007112746666,3.851096646940927e-05,0.0008803239588867119,7.6999145077556665
1.0565,-3.002002788844073,0.2646953358793994,0.012440103775767465,-0.1395750064007147,-0.2640065193181228,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.00018269447191753712,0.0195144053513441,0.9999998719363216,1.2806549701856302e-07,0.00018269453636328718,0.01951439129232164,-1.423760080118345e-06,0.171992300830189,8.412435633375618e-07,-6.664900486074517e-05,0.07710042369292355,3.906368276102484e-05,0.0008803239588867119,7.6999145077556665
1.057,-3.001824862931669,0.28201768922611736,0.012440103775767465,-0.13975258341674118,-0.28131950125486704,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.00019480784809211029,0.020314436195094418,0.9999998719363216,1.2806549701856302e-07,0.00019480790492304987,0.020314420706613535,-1.4577384117813133e-06,0.1720441843011874,8.611085928499381e-07,-6.761888675871321e-05,0.08216077625838045,3.9616399052640414e-05,0.0008803239588867119,7.6999145077556665
1.0575,-3.001636341423344,0.2993400425728431,0.012440103775767465,-0.13994073906701338,-0.29863248319161895,-0.013373169497888596,0.99999987192173,1.2807561311272943e-07,0.0002073596055275231,0.021114467038845088,0.9999998719363216,1.2806549701856302e-07,0.00020735965583210374,0.021114450120905785,-1.4934095290335464e-06,0.17209917754402967,8.819495653812935e-07,-6.858876865668168e-05,0.08722112882383959,4.016911534425623e-05,0.0008803239588867119,7.6999145077556665
1.058,-3.0014372243190977,0.316662395919561,0.012440103775767465,-0.14013947335153126,-0.31594546512836325,-0.013373169497888596,0.9999998719224301,1.2807511576299204e-07,0.00022034974422376454,0.02194154267869403,0.9999998719359907,1.2806567081665297e-07,0.00022034978909043774,0.021941525828133454,-1.5307734318750127e-06,0.17215728055871582,9.037664809316095e-07,-6.955865055464972e-05,0.09228148138929648,4.072183163587179e-05,0.0008803239588867119,7.6999145077556665
1.0585,-3.0012275116189304,0.33413551789716944,0.031317908153899975,-0.14034878627029482,-0.3334081784251463,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.0002337782641808399,0.02282768991146354,0.9999998719359907,1.2806567081665297e-07,0.00023377830469805723,0.022827676397692724,-1.5698301203057274e-06,0.17221849334524575,9.265593395008952e-07,-7.063213489345637e-05,0.09738789087905089,4.13334756036963e-05,-0.0019666982322212876,10.261235379019825
1.059,-3.001007203322842,0.35411597456291655,0.031317908153899975,-0.14056867782330404,-0.35336097623559903,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.0002476451653987494,0.023713837144233047,0.9999998719359907,1.2806567081665297e-07,0.0002476452026549623,0.023713826967251994,-1.610579594325691e-06,0.17228281590361955,9.503281410891505e-07,-7.342856380074763e-05,0.10326024301375827,4.292510729030203e-05,-0.0019666982322212876,10.261235379019825
1.0595,-3.0007762994308322,0.3740964312286725,0.031317908153899975,-0.14079914801055915,-0.3733137740460607,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.00026195044787749925,0.024599984377002948,0.9999998719359907,1.2806567081665297e-07,0.0002619504829611594,0.024599977536811656,-1.6530218539349226e-06,0.17235024823383732,9.750728856963869e-07,-7.622499270804014e-05,0.10913259514846825,4.4516738976908466e-05,-0.0019666982322212876,10.261235379019825
1.06,-3.0005347999429013,0.3940768878944196,0.031317908153899975,-0.14104019683205982,-0.3932665718565135,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.000276694111617077,0.025486131609772457,0.9999998719359907,1.2806567081665297e-07,0.0002766941456166358,0.025486128106370926,-1.697156899133384e-06,0.1724207903358989,1.0007935733225822e-06,-7.90214216153314e-05,0.11500494728317562,4.610837066351419e-05,-0.0019666982322212876,10.261235379019825
1.0605,-3.0002827048590492,0.4140573445601667,0.031317908153899975,-0.14129182428780618,-0.4132193696669662,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.0002918761566174888,0.026372278842541962,0.9999998719359907,1.2806567081665297e-07,0.00029187619062139773,0.026372278675930196,-1.7429847299210944e-06,0.1724944422098043,1.027490203967747e-06,-8.181785052262266e-05,0.120877299417883,4.770000235011992e-05,-0.0019666982322212876,10.261235379019825
1.061,-3.000020014179276,0.4340378012259138,0.031317908153899975,-0.14155403037779823,-0.433172167477419,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.0003075165331834481,0.02725842607531147,0.9999998719359907,1.2806567081665297e-07,0.00030751657129657214,0.027258429245489463,-1.7905053462980533e-06,0.17257120385555358,1.0551627776318815e-06,-8.461427942991393e-05,0.12674965155259035,4.9291634036725655e-05,-0.0019666982322212876,10.261235379019825
1.0615,-2.9997467049755957,0.4540182578916698,0.031317908153899975,-0.14182683652280723,-0.4531249652878806,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.00032363606533664254,0.028144573308081372,0.9999998719359907,1.2806567081665297e-07,0.0003236361148123626,0.02814457981504913,-1.8398801542838301e-06,0.17265108960111944,1.0838901339440189e-06,-8.741070833720643e-05,0.13262200368730034,5.0883265723332085e-05,-0.0019666982322212876,10.261235379019825
1.062,-2.9994627073898865,0.4739987145574169,0.031317908153899975,-0.1421103079886981,-0.4730777630983334,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.00034023475545556407,0.02903072054085088,0.9999998719359907,1.2806567081665297e-07,0.00034023482354762075,0.0290307303846084,-1.89160093372662e-06,0.172734143101678,1.1139124853875558e-06,-9.02071372444977e-05,0.1384943558220077,5.247489740993782e-05,-0.0019666982322212876,10.261235379019825
1.0625,-2.9991680165909367,0.493979171223164,0.031317908153899975,-0.14240444928909415,-0.49303056090878616,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.0003573126035402195,0.029916867773620386,0.9999998719359907,1.2806567081665297e-07,0.00035731269750235344,0.02991688095416767,-1.9457016948844933e-06,0.17282036737631157,1.1452464444540027e-06,-9.300356615178895e-05,0.14436670795671508,5.406652909654355e-05,-0.0019666982322212876,10.261235379019825
1.063,-2.9988626325787457,0.5139596278889111,0.031317908153899975,-0.14270926042399548,-0.512983358719239,-0.029640459636107327,0.9999998719224301,1.2807511576299204e-07,0.000374869609590609,0.030803015006389895,0.9999998719359907,1.2806567081665297e-07,0.0003748697366765607,0.030803031523726935,-2.0021824377574497e-06,0.17290976242502012,1.1778920111433596e-06,-9.579999505908021e-05,0.15023906009142246,5.5658160783149274e-05,-0.0019666982322212876,10.261235379019825
